Date,Coins,Price,Cost
03/27/2025,0.00004802,88296.54,4.35
03/28/2025,0.00057565,84738.99,50
03/31/2025,0.0005838,84801.30,50
04/04/2025,0.00057282,85157.64,50
04/05/2025,0.000591,83764.73,50
